"source","target","weight"
JosiBremide,STF_oficial,91
MarquesSidneiTw,LRobertoBarroso,91
xandevolp,senadofederal,91
PastorLiomar,STF_oficial,90
DairoSoares,STF_oficial,90
madrilenha,STF_oficial,90
JAPONESA35,STF_oficial,90
maggye_c,STF_oficial,90
BetoFontes,ReyFigueiredo,90
CiganoJupter,STF_oficial,90
MarcoAu18575627,FemDeus06551125,90
MarcoTuite,o_antagonista,90
elianedonatella,STF_oficial,90
DeVilhena,RodrigoMaia,90
andreaconcec,republica_ctba,90
X0NGUINHAS,_rosy_38,90
juarezjms,YouTube,90
J_Lima1971,LRobertoBarroso,90
anacristinadeol,STF_oficial,89
BetoFontes,STF_oficial,89
ramosdopiaty,STF_oficial,89
ConexaoNow,STF_oficial,89
RenataDallagno1,STF_oficial,89
FredyNomura,STF_oficial,89
X0NGUINHAS,MarkusGuimas2,89
PollyCancado,STF_oficial,88
McTom_BR,geraldomiotto,88
nagbarros,STF_oficial,88
marcelolinhar25,STF_oficial,88
DeVilhena,davialcolumbre,88
annealmd,STF_oficial,88
dnegrini10,STF_oficial,87
chiccoze52,BandTV,87
chiccoze52,g1,87
xandevolp,jairbolsonaro,87
jacquel24783276,gilmarmendes,87
rc_mattar,STF_oficial,87
natalin92105056,camaradeputados,87
Valquele,STF_oficial,87
rjbrunholi,STF_oficial,87
Bolsonarita_,exercitooficial,87
tinellizu,STF_oficial,86
BiaDegrazia,STF_oficial,86
ChobasB,STF_oficial,86
LigiaMauraCosta,STF_oficial,86
romelfaustino,CNJ_oficial,86
demetrioflu,STF_oficial,86
eng_jeferson,STF_oficial,86
BetoFontes,belinha_Inez,86
JamesTKirk369,exercitooficial,86
BrenoBMedeiros,STF_oficial,86
BiancaMoura3105,STF_oficial,86
MoacirP24838037,gen_heleno,86
BerroCoronel,planalto,86
X0NGUINHAS,_Paty_38,86
FlavioPradela,STF_oficial,85
MiriamKlassM,STF_oficial,85
ImagemNet,ImagemNet,85
IpoPatrick,STF_oficial,85
EMofatto,STF_oficial,85
mspontocom,ForaGilmar,84
Isleite,STF_oficial,84
McTom_BR,GenExTheophilo,84
JussaraVianna1,STF_oficial,84
